year,month,flow
1984,June,1315.666667
1984,July,2698.666667
1984,August,2085.666667
1984,September,1452.666667
1984,October,785.6666667
1984,November,435.3333333
1984,December,293
1985,January,207.3333333
1985,February,205.3333333
1985,March,244.3333333
1985,April,305.3333333
1985,May,693.3333333
1985,June,741.3333333
1985,July,1023.666667
1985,August,927
1985,September,1845.333333
1985,October,606
1985,November,368.6666667
1985,December,228
1986,January,201
1986,February,173.3333333
1986,March,205.3333333
1986,April,240.3333333
1986,May,466
1986,June,757
1986,July,917
1986,August,435
1986,September,535
1986,October,254.6666667
1986,November,231.6666667
1986,December,189
1987,January,152.6666667
1987,February,146.6666667
1987,March,131.6666667
1987,April,158.6666667
1987,May,302.6666667
1987,June,974.6666667
1987,July,1296.666667
1987,August,518.3333333
1987,September,497.3333333
1987,October,310.6666667
1987,November,224.3333333
1987,December,144
1988,January,127
1988,February,105
1988,March,154.6666667
1988,April,295.3333333
1988,May,465
1988,June,505.3333333
1988,July,1863.333333
1988,August,1741
1988,September,928.6666667
1988,October,946.6666667
1988,November,423
1988,December,245.3333333
1989,January,194
1989,February,175.3333333
1989,March,245.6666667
1989,April,570.6666667
1989,May,748.6666667
1989,June,1295
1989,July,1347.333333
1989,August,1362.333333
1989,September,1762.666667
1989,October,522
1989,November,390.6666667
1989,December,246.6666667
1990,January,211
1990,February,193.3333333
1990,March,265.3333333
1990,April,384
1990,May,649.3333333
1990,June,683.6666667
1990,July,2385.666667
1990,August,1217.666667
1990,September,1834.666667
1990,October,895
1990,November,453.6666667
1990,December,272
1991,January,224
1991,February,183
1991,March,204
1991,April,301
1991,May,714
1991,June,754.6666667
1991,July,484.6666667
1991,August,353.6666667
1991,September,365.3333333
1991,October,414.6666667
1991,November,254.6666667
1991,December,162.3333333
1992,January,143.3333333
1992,February,117.6666667
1992,March,144.6666667
1992,April,289.3333333
1992,May,519.6666667
1992,June,892
1992,July,1779
1992,August,1638
1992,September,967.6666667
1992,October,857.3333333
1992,November,409.6666667
1992,December,246.6666667
1993,January,183.3333333
1993,February,207
1993,March,203.6666667
1993,April,343.6666667
1993,May,514.6666667
1993,June,748.6666667
1993,July,1657.333333
1993,August,1184.666667
1993,September,599.6666667
1993,October,594.6666667
1993,November,366.3333333
1993,December,227
1994,January,203.3333333
1994,February,151.6666667
1994,March,213
1994,April,365.6666667
1994,May,385
1994,June,677.3333333
1994,July,808.3333333
1994,August,339.3333333
1994,September,646.6666667
1994,October,617.6666667
1994,November,327.6666667
1994,December,246.3333333
1995,January,177.3333333
1995,February,139.3333333
1995,March,134.6666667
1995,April,282.3333333
1995,May,322
1995,June,366
1995,July,779.6666667
1995,August,977.6666667
1995,September,1106.333333
1995,October,509.6666667
1995,November,261.3333333
1995,December,185.6666667
1996,January,154
1996,February,149.6666667
1996,March,124
1996,April,183
1996,May,385.6666667
1996,June,471.6666667
1996,July,513.3333333
1996,August,604.3333333
1996,September,672
1996,October,300
1996,November,232.6666667
1996,December,122
1997,January,142.6666667
1997,February,100
1997,March,188
1997,April,380.3333333
1997,May,563.3333333
1997,June,298.3333333
1997,July,530
1997,August,488
1997,September,176.3333333
1997,October,150.3333333
1997,November,132.3333333
1997,December,180.3333333
1998,January,143.3333333
1998,February,112
1998,March,140
1998,April,182.3333333
1998,May,475.3333333
1998,June,442
1998,July,1388
1998,August,1709
1998,September,1073.333333
1998,October,304.3333333
1998,November,245
1998,December,208.3333333
1999,January,254.3333333
1999,February,238.6666667
1999,March,246.6666667
1999,April,169.3333333
1999,May,343
1999,June,691
1999,July,1405
1999,August,698.3333333
1999,September,493.6666667
1999,October,881.3333333
1999,November,379
1999,December,265
2000,January,245.6666667
2000,February,240.6666667
2000,March,342.3333333
2000,April,361.3333333
2000,May,306.6666667
2000,June,339
2000,July,401.6666667
2000,August,554
2000,September,548.6666667
2000,October,959.6666667
2000,November,334
2000,December,249.6666667
2001,January,241
2001,February,184.3333333
2001,March,256.3333333
2001,April,336
2001,May,366
2001,June,280
2001,July,349
2001,August,445.6666667
2001,September,2143.666667
2001,October,819.6666667
2001,November,369.3333333
2001,December,287
2002,January,298
2002,February,161
2002,March,209.3333333
2002,April,444
2002,May,439.3333333
2002,June,696.3333333
2002,July,304.3333333
2002,August,332.6666667
2002,September,263.3333333
2002,October,164
2002,November,69
2002,December,126
