year,month,flow
1981,January,110
1981,February,106.6666667
1981,March,134.6666667
1981,April,156.3333333
1981,May,164.3333333
1981,June,396
1981,July,989.3333333
1981,August,900.3333333
1981,September,883.3333333
1981,October,455
1981,November,259.6666667
1981,December,177.6666667
1982,January,129
1982,February,133
1982,March,153.6666667
1982,April,210
1982,May,329
1982,June,335.6666667
1982,July,314.3333333
1982,August,252
1982,September,645.6666667
1982,October,428.6666667
1982,November,246
1982,December,185
1983,January,134.6666667
1983,February,111.6666667
1983,March,120
1983,April,223.3333333
1983,May,443
1983,June,469.6666667
1983,July,470.3333333
1983,August,498
1983,September,594
1983,October,579.6666667
1983,November,291.6666667
1983,December,191
1984,January,161.6666667
1984,February,129.6666667
1984,March,154.3333333
1984,April,186
1984,May,262.3333333
1984,June,657
1984,July,1031.666667
1984,August,862.6666667
1984,September,581.3333333
1984,October,488.6666667
1984,November,273
1984,December,191.6666667
1985,January,138.3333333
1985,February,139.3333333
1985,March,170.3333333
1985,April,173.6666667
1985,May,330
1985,June,412.3333333
1985,July,421
1985,August,540.3333333
1985,September,766.3333333
1985,October,368.3333333
1985,November,228
1985,December,148.6666667
1986,January,143.6666667
1986,February,128
1986,March,148.3333333
1986,April,169
1986,May,306.3333333
1986,June,420
1986,July,501
1986,August,274.6666667
1986,September,349
1986,October,175.3333333
1986,November,167.3333333
1986,December,136.6666667
1987,January,113.6666667
1987,February,116.6666667
1987,March,103
1987,April,103.6666667
1987,May,206.6666667
1987,June,478
1987,July,510
1987,August,263.6666667
1987,September,215.6666667
1987,October,152
1987,November,146.6666667
1987,December,97.66666667
1988,January,95
1988,February,84.66666667
1988,March,112
1988,April,193.3333333
1988,May,315
1988,June,395
1988,July,597
1988,August,532
1988,September,438.3333333
1988,October,541.6666667
1988,November,280.3333333
1988,December,169.6666667
1989,January,134.6666667
1989,February,121.6666667
1989,March,136.3333333
1989,April,285.6666667
1989,May,395.6666667
1989,June,694.3333333
1989,July,602.3333333
1989,August,528.3333333
1989,September,598
1989,October,239.6666667
1989,November,231.3333333
1989,December,142.6666667
1990,January,141.3333333
1990,February,130.6666667
1990,March,117
1990,April,168.6666667
1990,May,332
1990,June,430
1990,July,688.3333333
1990,August,553.3333333
1990,September,825
1990,October,410.6666667
1990,November,263.6666667
1990,December,165.6666667
1991,January,138.3333333
1991,February,109.3333333
1991,March,125
1991,April,183.3333333
1991,May,337.3333333
1991,June,397
1991,July,237.6666667
1991,August,233.3333333
1991,September,244.6666667
1991,October,285.6666667
1991,November,190.6666667
1991,December,122.3333333
1992,January,111.6666667
1992,February,89
1992,March,104.3333333
1992,April,202
1992,May,320
1992,June,466
1992,July,811
1992,August,720
1992,September,433
1992,October,421
1992,November,241
1992,December,164
1993,January,136
1993,February,146.3333333
1993,March,126.3333333
1993,April,198.6666667
1993,May,351
1993,June,456.3333333
1993,July,757.6666667
1993,August,571
1993,September,345.6666667
1993,October,298.3333333
1993,November,221.6666667
1993,December,149.3333333
1994,January,148.3333333
1994,February,108.6666667
1994,March,146
1994,April,202
1994,May,266
1994,June,404
1994,July,391
1994,August,233
1994,September,348
1994,October,331.3333333
1994,November,188
1994,December,170.3333333
1995,January,132.3333333
1995,February,95
1995,March,85
1995,April,191.6666667
1995,May,264.6666667
1995,June,293
1995,July,408.6666667
1995,August,486.3333333
1995,September,488.3333333
1995,October,275
1995,November,169.3333333
1995,December,139.3333333
1996,January,121
1996,February,119.3333333
1996,March,88
1996,April,103
1996,May,252.3333333
1996,June,317
1996,July,270.3333333
1996,August,315.3333333
1996,September,294.6666667
1996,October,134.6666667
1996,November,59.33333333
1996,December,59
1997,January,102.6666667
1997,February,62.33333333
1997,March,111.6666667
1997,April,197.3333333
1997,May,390
1997,June,244.6666667
1997,July,293.6666667
1997,August,245.6666667
1997,September,85.33333333
1997,October,95.33333333
1997,November,90.66666667
1997,December,145
1998,January,116
1998,February,90.33333333
1998,March,94.33333333
1998,April,118.6666667
1998,May,220
1998,June,317.3333333
1998,July,330
1998,August,566.6666667
1998,September,341
1998,October,167.3333333
1998,November,172
1998,December,158.3333333
1999,January,206.3333333
1999,February,200
1999,March,225.6666667
1999,April,122
1999,May,221.3333333
1999,June,233
1999,July,478.6666667
1999,August,406
1999,September,193
1999,October,479.6666667
1999,November,226.6666667
1999,December,195
2000,January,192.6666667
2000,February,196.3333333
2000,March,265.3333333
2000,April,250
2000,May,272.3333333
2000,June,204.6666667
2000,July,201.3333333
2000,August,202.3333333
2000,September,271.6666667
2000,October,363.6666667
2000,November,204.6666667
2000,December,184.6666667
2001,January,182
2001,February,148.3333333
2001,March,219.3333333
2001,April,284.3333333
2001,May,305
2001,June,235.3333333
2001,July,195
2001,August,151.3333333
