year,month,Ri
1978,5,7.818393601
1978,6,9.5606784
1978,7,12.8001024
1978,8,10.944
1978,9,23.7791232
1978,10,7.678310399
1978,11,5.743411201
1978,12,3.8347776
1979,1,3.4407936
1979,2,3.2832
1979,3,3.3357312
1979,4,4.167475201
1979,5,5.839718399
1979,6,5.034240001
1979,7,15.8731776
1979,8,13.8157056
1979,9,10.637568
1979,10,9.411839999
1979,11,5.366937599
1979,12,4.184985599
1980,1,3.064320001
1980,2,2.924236799
1980,3,4.430131201
1980,4,4.7803392
1980,5,8.939059199
1980,6,12.8526336
1980,7,19.0600704
1980,8,10.856448
1980,9,11.0052864
1980,10,7.949721601
1980,11,5.638348801
1980,12,3.93984
1981,1,2.889216
1981,2,2.801664001
1981,3,3.537100801
1981,4,4.106188799
1981,5,4.316313599
1981,6,10.4011776
1981,7,25.9854336
1981,8,23.6477952
1981,9,23.20128
1981,10,11.950848
1981,11,6.820300801
1981,12,4.666521601
1982,1,3.3882624
1982,2,3.4933248
1982,3,4.036147201
1982,4,5.515776
1982,5,8.6413824
1982,6,8.816486401
1982,7,8.256153599
1982,8,6.6189312
1982,9,16.9588224
1982,10,11.2591872
1982,11,6.4613376
1982,12,4.859136
1983,1,3.537100801
1983,2,2.932992001
1983,3,3.151872
1983,4,5.865983999
1983,5,11.6356608
1983,6,12.3360768
1983,7,12.3535872
1983,8,13.0802688
1983,9,15.6017664
1983,10,15.2252928
1983,11,7.660800001
1983,12,5.0167296
1984,1,4.246272001
1984,2,3.405772801
1984,3,4.053657599
1984,4,4.8854016
1984,5,6.890342399
1984,6,17.2564992
1984,7,27.09734401
1984,8,22.6584576
1984,9,15.2690688
1984,10,12.8351232
1984,11,7.1705088
1984,12,5.034240001
1985,1,3.633407999
1985,2,3.659673599
1985,3,4.473907199
1985,4,4.561459201
1985,5,8.667648
1985,6,10.8301824
1985,7,11.0578176
1985,8,14.1921792
1985,9,20.1282048
1985,10,9.674495999
1985,11,5.9885568
1985,12,3.904819201
1986,1,3.773491201
1986,2,3.3619968
1986,3,3.896063999
1986,4,4.4388864
1986,5,8.046028799
1986,6,11.031552
1986,7,13.1590656
1986,8,7.214284801
1986,9,9.1666944
1986,10,4.605235199
1986,11,4.395110399
1986,12,3.589632001
1987,1,2.985523201
1987,2,3.064320001
1987,3,2.7053568
1987,4,2.722867201
1987,5,5.428224001
1987,6,12.5549568
1987,7,13.395456
1987,8,6.925363201
1987,9,5.664614401
1987,10,3.9923712
1987,11,3.852288001
1987,12,2.5652736
1988,1,2.495232
1988,2,2.2238208
1988,3,2.9417472
1988,4,5.078015999
1988,5,8.273664
1988,6,10.374912
1988,7,15.6805632
1988,8,13.9732992
1988,9,11.513088
1988,10,14.2272
1988,11,7.363123199
1988,12,4.456396801
1989,1,3.537100801
1989,2,3.195648001
1989,3,3.580876799
1989,4,7.503206401
1989,5,10.3924224
1989,6,18.2370816
1989,7,15.8206464
1989,8,13.876992
1989,9,15.7068288
1989,10,6.294988801
1989,11,6.076108799
1989,12,3.747225601
1990,1,3.712204799
1990,2,3.432038401
1990,3,3.0730752
1990,4,4.430131201
1990,5,8.7201792
1990,6,11.294208
1990,7,18.079488
1990,8,14.533632
1990,9,21.66912
1990,10,10.7864064
1990,11,6.925363201
1990,12,4.351334401
1991,1,3.633407999
1991,2,2.871705599
1991,3,3.2832
1991,4,4.815359999
1991,5,8.860262399
1991,6,10.4274432
1991,7,6.242457601
1991,8,6.128639999
1991,9,6.426316801
1991,10,7.503206401
1991,11,5.007974401
1991,12,3.213158399
1992,1,2.932992001
1992,2,2.3376384
1992,3,2.740377599
1992,4,5.3056512
1992,5,8.404992
1992,6,12.2397696
1992,7,21.3014016
1992,8,18.911232
1992,9,11.3730048
1992,10,11.0578176
1992,11,6.3300096
1992,12,4.3075584
1993,1,3.5721216
1993,2,3.843532799
1993,3,3.318220799
1993,4,5.218099201
1993,5,9.2192256
1993,6,11.9858688
1993,7,19.9005696
1993,8,14.9976576
1993,9,9.079142401
1993,10,7.835903999
1993,11,5.822208001
1993,12,3.922329599
1994,1,3.896063999
1994,2,2.854195201
1994,3,3.8347776
1994,4,5.3056512
1994,5,6.9866496
1994,6,10.6113024
1994,7,10.2698496
1994,8,6.1198848
1994,9,9.1404288
1994,10,8.702668799
1994,11,4.9379328
1994,12,4.473907199
1995,1,3.475814399
1995,2,2.495232
1995,3,2.232576
1995,4,5.034240001
1995,5,6.951628801
1995,6,7.6958208
1995,7,10.7338752
1995,8,12.7738368
1995,9,12.826368
1995,10,7.22304
1995,11,4.447641599
1995,12,3.659673599
1996,1,3.1781376
1996,2,3.134361599
1996,3,2.3113728
1996,4,2.7053568
1996,5,6.627686399
1996,6,8.3261952
1996,7,7.100467199
1996,8,8.282419199
1996,9,7.739596801
1996,10,3.537100801
1996,11,1.5584256
1996,12,1.5496704
1997,1,2.696601601
1997,2,1.6372224
1997,3,2.932992001
1997,4,5.183078399
1997,5,10.243584
1997,6,6.426316801
1997,7,7.713331201
1997,8,6.452582401
1997,9,2.2413312
1997,10,2.5039872
1997,11,2.3814144
1997,12,3.808512
1998,1,3.0468096
1998,2,2.3726592
1998,3,2.4777216
1998,4,3.116851201
1998,5,5.778432
1998,6,8.334950399
1998,7,8.667648
1998,8,14.88384
1998,9,8.9565696
1998,10,4.395110399
1998,11,4.5176832
1998,12,4.158719999
1999,1,5.419468799
1999,2,5.25312
1999,3,5.927270401
1999,4,3.2044032
1999,5,5.813452799
1999,6,6.1198848
1999,7,12.5724672
1999,8,10.6638336
1999,9,5.0692608
1999,10,12.5987328
1999,11,5.953536001
1999,12,5.121792
2000,1,5.060505601
2000,2,5.156812799
2000,3,6.969139199
2000,4,6.5664
2000,5,7.152998399
2000,6,5.375692801
2000,7,5.288140799
2000,8,5.314406399
2000,9,7.135488001
2000,10,9.551923201
2000,11,5.375692801
2000,12,4.850380801
2001,1,4.7803392
2001,2,3.896063999
2001,3,5.760921599
2001,4,7.468185599
2001,5,8.011008
2001,6,6.181171199
2001,7,5.121792
2001,8,3.974860799
2001,9,15.5054592
2001,10,10.8827136
2001,11,5.918515199
2001,12,5.734655999
2002,1,7.056691201
2002,2,2.845439999
